,tic,date,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
268,sh.601336,2020-04-29,2020-03-31,0.053866,10.563991,,0.999784,0.068028,0.832465,,
269,sh.601336,2020-08-26,2020-06-30,0.093591,10.353960,,0.999878,0.069265,0.888156,,
270,sh.601336,2020-10-28,2020-09-30,0.124579,10.198703,,0.999820,0.065423,0.922508,,
271,sh.601336,2021-03-25,2020-12-31,0.153601,10.119096,,0.999790,0.069222,0.922923,,
272,sh.601398,2019-04-30,2019-03-31,0.034575,12.004759,,0.991716,0.351124,0.798420,,
273,sh.601398,2019-08-30,2019-06-30,0.070807,12.162225,,0.995501,0.380863,0.806323,,
274,sh.601398,2019-10-26,2019-09-30,0.100990,11.660406,,0.996138,0.390588,0.806913,,
275,sh.601398,2020-03-28,2019-12-31,0.124735,11.547506,,0.996372,0.366434,0.799821,,
276,sh.601398,2020-04-29,2020-03-31,0.031064,11.434461,,0.993895,0.374541,0.793624,,
277,sh.601398,2020-08-31,2020-06-30,0.055036,11.692406,,0.993284,0.334026,0.791102,,
278,sh.601398,2020-10-31,2020-09-30,0.083421,11.597208,,0.993492,0.345764,0.810109,,
279,sh.601398,2021-03-27,2020-12-31,0.113438,11.392827,,0.994400,0.359916,0.810161,,
280,sh.601601,2019-04-27,2019-03-31,0.035159,8.858759,,0.978568,0.042049,0.721149,,
281,sh.601601,2019-08-26,2019-06-30,0.103703,9.007244,,0.979245,0.074987,1.140904,,
282,sh.601601,2019-10-31,2019-09-30,0.143298,8.846937,,0.979566,0.075161,1.019481,,
283,sh.601601,2020-03-23,2019-12-31,0.169151,8.732518,,0.978380,0.073553,1.013874,,
284,sh.601601,2020-04-25,2020-03-31,0.046043,8.617096,,0.976484,0.062151,0.793607,,
285,sh.601601,2020-08-24,2020-06-30,0.075896,8.564989,,0.975876,0.061963,0.827623,,
286,sh.601601,2020-10-31,2020-09-30,0.103091,8.561395,,0.973879,0.059005,0.837206,,
287,sh.601601,2021-03-29,2020-12-31,0.124903,8.381376,,0.969707,0.060050,0.867091,,
288,sh.601628,2019-04-26,2019-03-31,0.076265,9.707672,,0.993816,0.083901,0.786383,,
289,sh.601628,2019-08-23,2019-06-30,0.109490,9.805204,,0.991300,0.082953,0.975214,,
290,sh.601628,2019-10-30,2019-09-30,0.163202,9.706178,,0.990456,0.093359,0.940297,,
291,sh.601628,2020-03-26,2019-12-31,0.161430,9.667357,,0.987681,0.079196,0.986939,,
292,sh.601628,2020-04-24,2020-03-31,0.041811,9.298652,,0.986607,0.051283,0.821649,,
293,sh.601628,2020-08-27,2020-06-30,0.074506,9.385200,,0.983034,0.060463,0.873411,,
294,sh.601628,2020-10-29,2020-09-30,0.114647,9.481023,,0.982409,0.069293,0.890394,,
295,sh.601628,2021-03-26,2020-12-31,0.117749,9.345284,,0.978262,0.062288,0.943052,,
296,sh.601633,2019-04-30,2019-03-31,0.014600,2.107804,0.202680,0.975106,0.035047,0.811871,1.068055,0.040418
297,sh.601633,2019-08-27,2019-06-30,0.029176,1.967606,0.404396,0.978171,0.037486,0.814300,0.949553,0.048480
298,sh.601633,2019-10-26,2019-09-30,0.055298,1.996479,0.594112,0.988528,0.047162,0.823316,1.061911,0.053943
299,sh.601633,2020-04-25,2019-12-31,0.084113,2.103332,0.855598,0.992527,0.047092,0.888282,1.035888,0.051178
300,sh.601633,2020-04-25,2020-03-31,-0.012049,2.019167,0.113961,1.000000,-0.052363,0.829921,0.874206,-0.072173
301,sh.601633,2020-08-29,2020-06-30,0.021289,2.158888,0.309122,1.000000,0.031900,0.869367,1.158894,0.031662
302,sh.601633,2020-10-24,2020-09-30,0.047498,2.207687,0.516777,1.000000,0.041633,0.818827,1.100188,0.046214
303,sh.601633,2021-03-31,2020-12-31,0.095981,2.390418,0.773527,1.000000,0.051908,0.861128,1.069176,0.056379
304,sh.601668,2019-04-30,2019-03-31,0.035596,7.620715,0.156917,0.745217,0.039944,0.762000,0.904273,0.057969
305,sh.601668,2019-08-29,2019-06-30,0.081285,7.596216,0.361155,0.631749,0.046900,0.766222,0.914690,0.066919
306,sh.601668,2019-10-26,2019-09-30,0.117871,7.482838,0.511548,0.680536,0.045248,0.773324,0.882287,0.066318
307,sh.601668,2020-04-25,2019-12-31,0.160724,7.476208,0.728814,0.662625,0.044516,0.775831,0.922670,0.062187
308,sh.601668,2020-04-30,2020-03-31,0.028032,7.603138,0.128457,0.750104,0.038264,0.767875,0.840785,0.059267
309,sh.601668,2020-08-28,2020-06-30,0.071499,7.585807,0.345941,0.602396,0.045228,0.752368,0.901097,0.066713
310,sh.601668,2020-10-29,2020-09-30,0.109833,7.467934,0.508291,0.661977,0.043710,0.748317,0.892440,0.065450
311,sh.601668,2021-04-17,2020-12-31,0.155619,7.317323,0.764214,0.633460,0.043931,0.752465,0.915861,0.063747
312,sh.601688,2019-04-30,2019-03-31,0.026470,3.877014,,0.991026,0.448925,0.768099,,
313,sh.601688,2019-08-30,2019-06-30,0.036845,3.912855,,0.989471,0.369155,0.756750,,
314,sh.601688,2019-10-30,2019-09-30,0.057676,3.936226,,0.992692,0.365531,0.767982,,
315,sh.601688,2020-03-31,2019-12-31,0.079685,4.120047,,0.993865,0.364285,0.781740,,
316,sh.601688,2020-04-30,2020-03-31,0.023320,4.688997,,0.992482,0.423897,0.771201,,
317,sh.601688,2020-08-27,2020-06-30,0.051738,4.670343,,0.994069,0.414604,0.775724,,
318,sh.601688,2020-10-31,2020-09-30,0.070817,5.024693,,0.988504,0.367436,0.782053,,
319,sh.601688,2021-03-24,2020-12-31,0.086026,5.083014,,0.995589,0.345702,0.804957,,
320,sh.601728,2020-04-30,2020-03-31,0.016382,1.997078,0.132940,0.988959,0.062393,0.760005,0.940277,0.087309
321,sh.601728,2020-08-31,2020-06-30,0.039310,1.996850,0.271584,0.991330,0.073120,0.771183,0.923054,0.102719
322,sh.601728,2020-10-27,2020-09-30,0.052382,1.995330,0.408148,0.990115,0.064962,0.772000,0.917463,0.091718
323,sh.601728,2021-04-09,2020-12-31,0.058256,1.980839,0.549891,0.988904,0.054083,0.769784,0.954398,0.073614
324,sh.601857,2019-04-30,2019-03-31,0.008400,2.076009,0.233290,0.638891,0.027147,0.652660,0.768082,0.054154
325,sh.601857,2019-08-30,2019-06-30,0.023280,2.076701,0.471866,0.726204,0.032714,0.633529,0.822795,0.062760
